Genome_ID	GGGPS_pro_ID	Plsc_pro_ID	Organism	Superdomain	Domain	Kingdom	Phylum
PBFU01	MBJ23350.1	MBJ24496.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYFNC01	MEA5087075.1	MEA5087003.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAPKCS01	MDE0856968.1	MDE0857345.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DTTC01	HIA97563.1	HIA98025.1	Marine Group III euryarchaeote	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JASLSI01	MDP6363568.1	MDP6363586.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYYQY01	MEC7976924.1	MEC7977039.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAZAOQ01	MED5231690.1	MED5230817.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAOFIY01	MDA7555131.1	MDA7555947.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBGC01	MBJ08864.1	MBJ08889.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAJPRE01	MCP2507701.1	MCP2507144.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQCDC01	MDA0878596.1	MDA0878010.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
JAQXFG01	MDG1545680.1	MDG1545563.1,MDG1544730.1,MDG1545384.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATFYG01	HME53966.1	HME53129.1,HME51270.1	Promethearchaeia archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JBBSVM01	MEK6985832.1	MEK6985674.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATLGO01	HVL48173.1	HVL49423.1,HVL49207.1,HVL48999.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGBZH01	MBO5669083.1	MBO5669015.1	Candidatus Methanomethylophilaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
SDNN01	TFG04262.1	TFG08887.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JADHSA01	MBL6896524.1	MBL6896389.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JABXKB01	NVM36439.1	NVM37456.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
DATLBS01	HUR62662.1	HUR61745.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBFP01	MBJ17777.1	MBJ17375.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
MIZA01	OIR20893.1	OIR20960.1,OIR20880.1	Marine Group III euryarchaeote CG-Epi1	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PSPB01	PXF20429.1	PXF20605.1	Error	Error	Error	Error	Error
JAKUOC01	MCH2640005.1	MCH2640111.1	Candidatus Thalassarchaeum sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQXFF01	MDG1525832.1	MDG1524822.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DQJJ01	DAC30864.1	DAC31996.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAKMEI01	MCH1527834.1	MCH1526626.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JASMFB01	MDP7328803.1	MDP7329615.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DQJF01	DAC26382.1	DAC24773.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DQJF01	AIE94826.1	DAC24773.1	uncultured marine group II/III euryarchaeote AD1000_53_H05	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBFO01	MBI87576.1	MBI87440.1,MBI87868.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
MDVS01	OLS19377.1	OLS23811.1,OLS21522.1,OLS16458.1,OLS19560.1	Candidatus Heimdallarchaeota archaeon LC_3	cellular organisms	Archaea	Promethearchaeati	Candidatus Heimdallarchaeota
JBLIRK01	MFW3145782.1	MFW3145479.1,MFW3146742.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQCHT01	MDA0648830.1	MDA0648186.1,MDA0649229.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
JAOMES01	MDC0243392.1	MDC0243409.1	Marine Group III euryarchaeote	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBGMRU01	MFV2015904.1	MFV2016590.1	Candidatus Heimdallarchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Candidatus Heimdallarchaeota
JBJLBF01	MFL2954208.1	MFL2954233.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JALNXS01	MCK9313973.1	MCK9313107.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JABXKC01	NVM17845.1	NVM19438.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAZAMO01	MED6297195.1	MED6298027.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JACRKI01	MBI5073440.1	MBI5072798.1	Candidatus Woesearchaeota archaeon	cellular organisms	Archaea	Nanobdellati	Candidatus Woesearchaeota
DALTVY01	HJJ50209.1	HJJ51073.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAJPRD01	MCP2503277.1	MCP2502926.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
SDNW01	TFG18437.1	TFG17082.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JASLQU01	MDP6489390.1	MDP6489845.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBBV01	MBH33092.1	MBH33067.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKURJ01	MCH2435411.1	MCH2434937.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DRFZ01	HDZ17135.1	HDZ16830.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
JASDXN01	MEZ7994277.1	MEZ7994339.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
RDOA01	NHJ20656.1	NHJ19533.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PAHF01	MAV60187.1	MAV59959.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYZLO01	MEC7757343.1	MEC7756991.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATLFT01	HVM45434.1	HVM44897.1,HVM45637.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAXDQU01	MEA3201754.1	MEA3199750.1,MEA3199257.1,MEA3200707.1,MEA3200018.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAPKFG01	MDE0574941.1	MDE0575215.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DASTXU01	HEU4985423.1	HEU4985295.1	Nitrososphaera sp.	cellular organisms	Archaea	Thermoproteati	Nitrososphaerota
PSPC01	PXF19396.1	PXF18855.1	Planocera cf. pellucida MK-2019C	cellular organisms	Eukaryota	Opisthokonta	Metazoa
JAFGBS01	MBN2155645.1	MBN2157048.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
MBAA01	OLS12968.1	OLS13364.1,OLS13363.1	Promethearchaeota archaeon CR_4	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
DASCSW01	HJM17481.1	HJM17797.1,HJM17546.1,HJM17671.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBQU01	MBP04399.1	MBP04425.1,MBP03755.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAWVYL01	MDX1747771.1	MDX1747685.1	Halobacteriales archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAZAFP01	MEC8874857.1	MEC8874248.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATDXA01	HLC92995.1	HLC92089.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
JAGXNP01	MBY9014786.1	MBY9015330.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAGXNQ01	MBY9002886.1	MBY9004905.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAFGLL01	MBN1389500.1	MBN1390218.1,MBN1389937.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAFGLL01	UCC21361.1	MBN1390218.1,MBN1389937.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PBOL01	MBN55087.1	MBN55446.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAGLEG01	MCK5772424.1	MCK5774496.1,MCK5774518.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
NJBH01	TKJ22781.1	TKJ16677.1	Promethearchaeota archaeon Loki_b32	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
NJDO01	OYT43137.1	OYT45746.1	Thermoplasmatales archaeon ex4484_6	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JANXHP01	MCS5532892.1	MCS5533061.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYNLL01	MEK9805164.1	MEK9804871.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JBHEMF01	MFO1532189.1	MFO1532922.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DASCQN01	HJM81398.1	HJM81717.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DASRYU01	HET6404904.1	HET6405557.1,HET6403238.1,HET6403494.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DALTYF01	HJJ97401.1	HJJ97117.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PAXY01	MBF26523.1	MBF26776.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBZE01	MBT86063.1	MBT86976.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAWOFX01	MFO7796433.1	MFO7796843.1	Promethearchaeia archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PBMR01	MBM47072.1	MBM47648.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JASLWN01	MDP6149392.1	MDP6148376.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBFO01	MBI87481.1	MBI87440.1,MBI87868.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAZADE01	MEC8997104.1	MEC8997484.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JASMMD01	MDP6921196.1	MDP6921249.1	Candidatus Thalassarchaeum sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYFOG01	MEA5037484.1	MEA5037754.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAQXEZ01	MDG1540922.1	MDG1540491.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JABXJT01	NVM31977.1	NVM31434.1	Candidatus Helarchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Candidatus Helarchaeota
JAKMDK01	MCH1616578.1	MCH1616614.1	Poseidonia sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYZND01	MEC7664851.1	MEC7664838.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAFGOA01	MBN1217222.1	MBN1215981.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAYZRS01	MEC7436725.1	MEC7435732.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
